;Periods;Total Consumption;AC;Dish washer;Washing Machine;Dryer;Water heater;TV;Microwave;Kettle;Lighting;Refrigerator
25082;27;0,259738820304556;0;0;0;0;0;0;0;0;0;0
25083;28;0,127567241254896;0;0;0;0;0;0;0;0;0;0
25084;29;0,270437134592387;0;0;0;0;0;0;0;0;0;0
25085;30;0,147338809432407;0;0;0;0;0;0;0;0;0;0
25086;31;0,145307483934718;0;0;0;0;0;0;0;0;0;0
25087;32;0,26732243549593;0;0;0;0;0;0;0;0;0;0
25088;33;0,124587963858285;0;0;0;0;0;0;0;0;0;0
25089;34;0,195413512877724;0;0;0;0;0;0;0;0;0;0
25090;35;0,275041472387149;0;0;0;0;0;0;0;0;0;0
25091;36;0,206111827165555;0;0;0;0;0;0;0;0;0;0
25092;37;0,316751355939706;0;0;0;0;0;0;0;0;0;0
25093;38;0,219247732050613;0;0;0;0;0;0;0;0;0;0,14
25094;39;0,125265072357515;0;0;0;0;0;0;0;0;0;0
25095;40;0,264884844898702;0;0;0;0;0;0;0;0;0;0
25096;41;0,143276158437028;0;0;0;0;0;0;0;0;0;0,14
25097;42;0,172798089003448;0;0;0;0;0;0;0;0;0;0,14
25098;43;0,234956649232745;0;0;0;0;0;0;0;0;0;0
25099;44;0,119848204363677;0;0;0;0;0;0;0;0;0;0
25100;45;0,210580743260471;0;0;0;0;0;0;0;0;0;0
25101;46;0,223174961346146;0;0;0;0;0;0;0;0;0;0,14
25102;47;0,206247248865401;0;0;0;0;0;0;0;0;0;0
25103;48;0,296031835863274;0;0;0;0;0;0;0;0;0;0
25104;49;0,22100821414861;0;0;0;0;0;0;0;0;0;0,14
25105;50;0,149776400029634;0;0;0;0;0;0;0;0;0;0
25106;51;0,218299780151691;0;0;0;0;0;0,06278;0;0;0;0
25107;52;0,445266549093524;0;0;0;0;0;0,1082;0;0;0;0,14
25108;53;1,23694180639302;0;0;0;0;0;0,107986666666666;0;0;0;0,14
25109;54;1,26199482086452;0;0;0;0;0;0,1076;1,141;0;0;0
25110;55;0,22371664814553;0;0;0;0;0;0,0849866666666666;0;0;0;0
25111;56;0,269624604393311;0;0;0;0;0;0;0;0;0;0
25112;57;0,272197616690384;0;0;0;0;0;0;0;0;0;0,14
25113;58;0,679004403027655;0;0;0,434181249999999;0;0;0;0;0;0;0
25114;59;2,59183591335187;0;0,0675875;2,0221125;0;0;0;0;0;0;0
25115;60;2,07222285104292;0;0,057125;1,221375;0;0;0;0;0;0;0
25116;61;1,55789123502795;0;1,4145625;0,11165;0;0;0;0;0;0;0
25117;62;1,32185121219644;0;0,80965625;0,0884124999999999;0;0;0;0;0;0;0
25118;63;1,22218084110981;0;0,00275625;0,0834874999999999;0;0;0;0;0;0;0
25119;64;1,26619289355975;0;0;0;0;0;0;1,141;0;0;0
25120;65;1,30600687331446;0;0;0;0;0,377;0;0;0;0;0
25121;66;1,24479626498409;0;0;0;0;0,387;0;0;0;0;0
25122;67;1,29774614962386;0;0;0;0;0,456;0;0;0;0;0
25123;68;1,28379771453972;0;0;0;0;0,059;0;0;0;0;0,14
25124;69;1,34270615397272;0;0;0;0;0;0;0;0;0;0
25125;70;1,34731049176748;0;0;0;0;0;0;0;0;0;0
25126;71;0,281270870580064;0;0;0;0;0;0;0;0;0;0,14
25127;72;0,649076207361697;0;0;0;0;0;0;0;0;0;0,14
25128;73;0,759986579535541;0;0;0;0;0;0;0;0;0;0
25129;74;0,667493558540748;0;0;0;0;0;0;0;0;0;0
25130;75;1,38996832721896;0;0;0;0;0;0;0;0;0;0
25131;76;0,309032319048486;0;0;0;0;0;0,141387096774193;0;0;0;0,14
25132;77;0,335304128818603;0;0;0;0;0;0,142870967741935;0;0;0;0
